ticker,security,sector,sub_industry,industry_group
MMM,3M,Industrials,Industrial Conglomerates,Capital Goods
AOS,A. O. Smith,Industrials,Building Products,Capital Goods
ABT,Abbott Laboratories,Health Care,Health Care Equipment,Health Care Equipment & Services
ABBV,AbbVie,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences"
ACN,Accenture,Information Technology,IT Consulting & Other Services,Software & Services
ADBE,Adobe Inc.,Information Technology,Application Software,Software & Services
AMD,Advanced Micro Devices,Information Technology,Semiconductors,Semiconductors & Semiconductor Equipment
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Utilities
AFL,Aflac,Financials,Life & Health Insurance,Insurance
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology & Life Sciences"
APD,Air Products,Materials,Industrial Gases,Materials
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Consumer Services
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,Software & Services
ALB,Albemarle Corporation,Materials,Specialty Chemicals,Materials
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Equity Real Estate Investment Trusts (REITs)
ALGN,Align Technology,Health Care,Health Care Supplies,Health Care Equipment & Services
ALLE,Allegion,Industrials,Building Products,Capital Goods
LNT,Alliant Energy,Utilities,Electric Utilities,Utilities
ALL,Allstate,Financials,Property & Casualty Insurance,Insurance
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,Media & Entertainment
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Media & Entertainment
MO,Altria,Consumer Staples,Tobacco,"Food, Beverage & Tobacco"
AMZN,Amazon,Consumer Discretionary,Broadline Retail,Consumer Discretionary Distribution & Retail
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,Materials
AEE,Ameren,Utilities,Multi-Utilities,Utilities
AEP,American Electric Power,Utilities,Electric Utilities,Utilities
AXP,American Express,Financials,Consumer Finance,Financial Services
AIG,American International Group,Financials,Multi-line Insurance,Insurance
AMT,American Tower,Real Estate,Telecom Tower REITs,Equity Real Estate Investment Trusts (REITs)
AWK,American Water Works,Utilities,Water Utilities,Utilities
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,Financial Services
AME,Ametek,Industrials,Electrical Components & Equipment,Capital Goods
AMGN,Amgen,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences"
APH,Amphenol,Information Technology,Electronic Components,Technology Hardware & Equipment
ADI,Analog Devices,Information Technology,Semiconductors,Semiconductors & Semiconductor Equipment
AON,Aon plc,Financials,Insurance Brokers,Insurance
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,Energy
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,Financial Services
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,Semiconductors & Semiconductor Equipment
APP,AppLovin,Communication Services,Advertising,Media & Entertainment
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,Automobiles & Components
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,Insurance
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Food, Beverage & Tobacco"
ARES,Ares Management,Financials,Asset Management & Custody Banks,Financial Services
ANET,Arista Networks,Information Technology,Communications Equipment,Technology Hardware & Equipment
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,Insurance
AIZ,Assurant,Financials,Multi-line Insurance,Insurance
T,AT&T,Communication Services,Integrated Telecommunication Services,Telecommunication Services
ATO,Atmos Energy,Utilities,Gas Utilities,Utilities
ADSK,Autodesk,Information Technology,Application Software,Software & Services
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,Commercial & Professional Services
AZO,AutoZone,Consumer Discretionary,Automotive Retail,Consumer Discretionary Distribution & Retail
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,Equity Real Estate Investment Trusts (REITs)
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,Materials
AXON,Axon Enterprise,Industrials,Aerospace & Defense,Capital Goods
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,Energy
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",Materials
BAC,Bank of America,Financials,Diversified Banks,Banks
BAX,Baxter International,Health Care,Health Care Equipment,Health Care Equipment & Services
BDX,Becton Dickinson,Health Care,Health Care Equipment,Health Care Equipment & Services
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,Financial Services
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,Consumer Discretionary Distribution & Retail
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology & Life Sciences"
BIIB,Biogen,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences"
BLK,BlackRock,Financials,Asset Management & Custody Banks,Financial Services
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,Financial Services
XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,Financial Services
BNY,BNY Mellon,Financials,Asset Management & Custody Banks,Financial Services
BA,Boeing,Industrials,Aerospace & Defense,Capital Goods
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Consumer Services
BSX,Boston Scientific,Health Care,Health Care Equipment,Health Care Equipment & Services
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences"
AVGO,Broadcom,Information Technology,Semiconductors,Semiconductors & Semiconductor Equipment
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,
BRO,Brown & Brown,Financials,Insurance Brokers,Insurance
BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Food, Beverage & Tobacco"
BLDR,Builders FirstSource,Industrials,Building Products,Capital Goods
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,"Food, Beverage & Tobacco"
BXP,"BXP, Inc.",Real Estate,Office REITs,Equity Real Estate Investment Trusts (REITs)
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,Transportation
CDNS,Cadence Design Systems,Information Technology,Application Software,Software & Services
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,Equity Real Estate Investment Trusts (REITs)
COF,Capital One,Financials,Consumer Finance,Financial Services
CAH,Cardinal Health,Health Care,Health Care Distributors,Health Care Equipment & Services
CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Consumer Services
CARR,Carrier Global,Industrials,Building Products,Capital Goods
CVNA,Carvana,Consumer Discretionary,Automotive Retail,Consumer Discretionary Distribution & Retail
CASY,Casey's,Consumer Staples,Food Retail,Consumer Staples Distribution & Retail
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,Capital Goods
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,Financial Services
CBRE,CBRE Group,Real Estate,Real Estate Services,Real Estate Management & Development
CDW,CDW Corporation,Information Technology,Technology Distributors,Technology Hardware & Equipment
COR,Cencora,Health Care,Health Care Distributors,Health Care Equipment & Services
CNC,Centene Corporation,Health Care,Managed Health Care,Health Care Equipment & Services
CNP,CenterPoint Energy,Utilities,Multi-Utilities,Utilities
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,Materials
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology & Life Sciences"
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,Financial Services
CHTR,Charter Communications,Communication Services,Cable & Satellite,Media & Entertainment
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,Energy
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,Consumer Services
CB,Chubb Limited,Financials,Property & Casualty Insurance,Insurance
